m,k,n,latency_us,mfu
16,7168,1536,16.443,0.010827
32,7168,1536,13.457,0.026459
64,7168,1536,10.881,0.065446
128,7168,1536,11.714,0.121584
256,7168,1536,13.062,0.218074
512,7168,1536,21.965,0.259365
1024,7168,1536,25.841,0.440924
4096,7168,1536,73.091,0.623547
8192,7168,1536,129.853,0.701958
16384,7168,1536,250.947,0.726459
32768,7168,1536,499.336,0.730181
16,1536,24576,20.773,0.029384
32,1536,24576,20.563,0.059368
64,1536,24576,20.872,0.116978
128,1536,24576,21.975,0.222212
256,1536,24576,26.656,0.36638
512,1536,24576,37.939,0.514838
1024,1536,24576,64.069,0.609731
4096,1536,24576,243.915,0.640631
8192,1536,24576,469.575,0.665536
16384,1536,24576,944.992,0.661422
32768,1536,24576,1885.0,0.66317
16,7168,576,9.932,0.006722
32,7168,576,9.516,0.014031
64,7168,576,9.525,0.028036
128,7168,576,9.646,0.055369
256,7168,576,10.283,0.103878
512,7168,576,15.868,0.134633
1024,7168,576,16.127,0.264942
4096,7168,576,34.493,0.495489
8192,7168,576,64.806,0.527448
16384,7168,576,114.532,0.596895
32768,7168,576,290.289,0.471003
16,16384,512,18.907,0.007174
32,16384,512,17.702,0.015325
64,16384,512,17.678,0.030692
128,16384,512,17.93,0.060521
256,16384,512,19.013,0.114147
512,16384,512,24.914,0.174221
1024,16384,512,28.955,0.299813
4096,16384,512,55.989,0.620199
8192,16384,512,103.784,0.669166
16384,16384,512,196.316,0.707519
32768,16384,512,386.489,0.718765
16,65536,128,60.926,0.002226
32,65536,128,60.807,0.004461
64,65536,128,61.117,0.008878
128,65536,128,61.679,0.017593
256,65536,128,63.35,0.034258
512,65536,128,84.419,0.051417
1024,65536,128,86.266,0.100632
4096,65536,128,115.8,0.299865
8192,65536,128,195.398,0.355422
16384,65536,128,365.93,0.379574
32768,65536,128,713.853,0.389148
16,16384,7168,55.055,0.034493
32,16384,7168,53.383,0.071146
64,16384,7168,51.677,0.146989
128,16384,7168,56.311,0.269786
256,16384,7168,59.319,0.51221
512,16384,7168,117.306,0.518026
1024,16384,7168,220.972,0.550003
4096,16384,7168,649.13,0.748911
8192,16384,7168,1310.0,0.7422
16384,16384,7168,2870.0,0.677548
32768,16384,7168,5451.0,0.71347
16,7168,4096,21.32,0.022268
32,7168,4096,19.612,0.048414
64,7168,4096,18.255,0.104026
128,7168,4096,20.276,0.187314
256,7168,4096,24.871,0.305414
512,7168,4096,30.034,0.505823
1024,7168,4096,46.282,0.656493
4096,7168,4096,169.08,0.718803
8192,7168,4096,331.183,0.733946
16384,7168,4096,664.757,0.731306
32768,7168,4096,1337.0,0.727211
16,2048,7168,10.094,0.023516
32,2048,7168,9.934,0.04779
64,2048,7168,9.911,0.095802
128,2048,7168,11.186,0.169765
256,2048,7168,12.3,0.308778
512,2048,7168,20.999,0.361729
1024,2048,7168,35.674,0.425854
4096,2048,7168,98.102,0.619433
8192,2048,7168,187.148,0.649407
16384,2048,7168,364.188,0.667431
32768,2048,7168,725.032,0.670509
16,7168,36864,98.722,0.04328
32,7168,36864,98.896,0.086408
64,7168,36864,100.142,0.170667
128,7168,36864,103.498,0.330265
256,7168,36864,127.088,0.537923
512,7168,36864,251.288,0.544105
1024,7168,36864,373.066,0.732992
4096,7168,36864,1489.0,0.734598
8192,7168,36864,2981.0,0.733859
16384,7168,36864,6136.0,0.713049
32768,7168,36864,12848.0,0.681081
16,18432,7168,59.752,0.035754
32,18432,7168,57.24,0.074646
64,18432,7168,55.896,0.152881
128,18432,7168,62.31,0.274288
256,18432,7168,68.235,0.500942
512,18432,7168,125.643,0.54411
1024,18432,7168,238.06,0.574339
4096,18432,7168,730.312,0.74887
8192,18432,7168,1470.0,0.744093
16384,18432,7168,2986.0,0.73263
32768,18432,7168,6139.0,0.7127
