num_experts,num_gpus,num_local_experts,topk,hidden_size,intermediate_size,seq_len_per_gpu,tokens_per_expert,up_proj_us,up_mfu,down_proj_us,down_mfu
256,1,256,8,7168,2048,1024,32,3249.0,0.074494,1541.0,0.077847
256,1,256,8,7168,2048,4096,128,3533.0,0.268985,1707.0,0.283454
256,1,256,8,7168,2048,8192,256,4531.0,0.426608,2296.0,0.42854
256,1,256,8,7168,2048,16384,512,7486.0,0.523519,3760.0,0.519633
256,4,64,8,7168,2048,1024,128,835.312,0.290141,421.716,0.275738
256,4,64,8,7168,2048,4096,512,1896.0,0.532525,960.509,0.518331
256,4,64,8,7168,2048,8192,1024,3236.0,0.596029,1644.0,0.572913
256,4,64,8,7168,2048,16384,2048,6183.0,0.624324,3211.0,0.603829
256,8,32,8,7168,2048,1024,256,554.174,0.439795,291.436,0.399459
256,8,32,8,7168,2048,4096,1024,1617.0,0.601819,850.889,0.581707
256,8,32,8,7168,2048,8192,2048,3075.0,0.635128,1641.0,0.607872
256,8,32,8,7168,2048,16384,4096,5924.0,0.647307,3095.0,0.617406
256,16,16,8,7168,2048,1024,512,459.016,0.535623,229.137,0.516678
256,16,16,8,7168,2048,4096,2048,1516.0,0.640994,815.577,0.606311
256,16,16,8,7168,2048,8192,4096,3199.0,0.654307,1575.0,0.620995
256,16,16,8,7168,2048,16384,8192,6104.0,0.654862,3319.0,0.630709
256,32,8,8,7168,2048,1024,1024,410.555,0.594727,218.147,0.554065
256,32,8,8,7168,2048,4096,4096,1431.0,0.657608,754.772,0.621977
256,32,8,8,7168,2048,8192,8192,3166.0,0.669028,1568.0,0.633381
256,32,8,8,7168,2048,16384,16384,5280.0,0.665061,3024.0,0.635905
256,64,4,8,7168,2048,1024,2048,392.682,0.644314,237.232,0.604423
256,64,4,8,7168,2048,4096,8192,1409.0,0.66935,812.365,0.633418
256,64,4,8,7168,2048,8192,16384,2581.0,0.67439,1455.0,0.640541
256,64,4,8,7168,2048,16384,32768,5437.0,0.668516,2715.0,0.640903
