dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,28.335,0.002
bf16,bf16,1,4096,27.035,0.008
bf16,bf16,1,8192,32.205,0.014
bf16,bf16,1,16384,27.328,0.033
bf16,bf16,1,32768,27.123,0.067
bf16,bf16,1,65536,38.536,0.094
bf16,bf16,1,131072,57.646,0.126
bf16,bf16,16,1024,35.106,0.026
bf16,bf16,16,4096,38.797,0.093
bf16,bf16,16,8192,57.765,0.126
bf16,bf16,16,16384,99.968,0.145
bf16,bf16,16,32768,186.94,0.155
bf16,bf16,16,65536,359.867,0.161
bf16,bf16,16,131072,703.843,0.165
bf16,bf16,32,1024,26.922,0.067
bf16,bf16,32,4096,59.244,0.122
bf16,bf16,32,8192,100.221,0.145
bf16,bf16,32,16384,186.495,0.156
bf16,bf16,32,32768,361.611,0.161
bf16,bf16,32,65536,705.331,0.165
bf16,bf16,32,131072,1389.732,0.167
bf16,bf16,64,1024,34.061,0.107
bf16,bf16,64,4096,96.806,0.15
bf16,bf16,64,8192,184.678,0.157
bf16,bf16,64,16384,356.713,0.163
bf16,bf16,64,32768,700.564,0.166
bf16,bf16,64,65536,1384.765,0.168
bf16,bf16,64,131072,2748.097,0.169
bf16,bf16,128,1024,61.979,0.117
bf16,bf16,128,4096,190.128,0.153
bf16,bf16,128,8192,361.671,0.16
bf16,bf16,128,16384,703.075,0.165
bf16,bf16,128,32768,1389.037,0.167
bf16,bf16,128,65536,2799.813,0.166
bf16,bf16,256,1024,111.353,0.13
bf16,bf16,256,4096,360.206,0.161
bf16,bf16,256,8192,680.716,0.171
bf16,bf16,256,16384,1338.256,0.173
bf16,bf16,512,1024,198.144,0.146
bf16,bf16,512,4096,664.473,0.175
bf16,bf16,512,8192,1290.348,0.18
