dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,20.91,0.014
bf16,bf16,1,4096,21.653,0.053
bf16,bf16,1,8192,26.256,0.088
bf16,bf16,1,16384,33.986,0.136
bf16,bf16,1,32768,45.53,0.203
bf16,bf16,1,65536,62.724,0.294
bf16,bf16,1,131072,94.21,0.392
bf16,bf16,16,1024,24.906,0.185
bf16,bf16,16,4096,53.437,0.345
bf16,bf16,16,8192,83.951,0.44
bf16,bf16,16,16384,146.112,0.505
bf16,bf16,16,32768,268.708,0.549
bf16,bf16,16,65536,544.051,0.543
bf16,bf16,16,131072,1085.607,0.544
bf16,bf16,32,1024,39.138,0.236
bf16,bf16,32,4096,85.584,0.431
bf16,bf16,32,8192,148.468,0.497
bf16,bf16,32,16384,270.547,0.546
bf16,bf16,32,32768,550.651,0.536
bf16,bf16,32,65536,1095.208,0.539
bf16,bf16,32,131072,2228.089,0.53
bf16,bf16,64,1024,51.974,0.355
bf16,bf16,64,4096,155.153,0.476
bf16,bf16,64,8192,288.668,0.511
bf16,bf16,64,16384,619.0,0.477
bf16,bf16,64,32768,1119.284,0.528
bf16,bf16,64,65536,2263.203,0.522
bf16,bf16,64,131072,4655.842,0.507
bf16,bf16,128,1024,96.252,0.384
bf16,bf16,128,4096,292.023,0.506
bf16,bf16,128,8192,550.393,0.537
bf16,bf16,128,16384,1057.193,0.559
bf16,bf16,128,32768,2095.256,0.564
bf16,bf16,128,65536,4443.373,0.532
bf16,bf16,256,1024,188.841,0.391
bf16,bf16,256,4096,585.772,0.504
bf16,bf16,256,8192,1094.216,0.54
bf16,bf16,256,16384,2141.453,0.552
bf16,bf16,512,1024,357.358,0.413
bf16,bf16,512,4096,1136.363,0.52
bf16,bf16,512,8192,2074.245,0.569
